CIDADE;UF;ANOMES;RENDA;POPULACAO;LEADS;PEDIDOS;RESTAURANTES;CHURN;REATIVACAO;CHS;MUB;IBGE_TIPO_MUNICIPIO;RECEITA_RESTAURANTE_ATIVO
ABADIA DOS DOURADOS;MG;202401;1000;7022;3;38;3;0;1;602;119;Centro Local;13
ABADIA DOS DOURADOS;MG;202402;1000;7022;4;47;2;2;0;602;121;Centro Local;13
ABADIA DOS DOURADOS;MG;202403;1000;7022;5;102;4;0;1;602;144;Centro Local;13
ABAETE;MG;202401;1000;23263;6;61;3;0;1;2162;330;Centro de Zona;49
ABAETE;MG;202402;1000;23263;6;111;4;1;2;2162;314;Centro de Zona;49
ABAETE;MG;202403;1000;23263;8;157;5;2;1;2162;473;Centro de Zona;49
ABRE CAMPO;MG;202402;1000;13434;4;64;3;0;0;300;50;Centro Local;19
ABRE CAMPO;MG;202403;1000;13434;5;41;3;2;1;300;10;Centro Local;19
ACUCENA;MG;202401;1000;9270;1;48;1;0;0;624;7;Centro Local;12
ACUCENA;MG;202402;1000;9270;2;57;2;0;0;624;87;Centro Local;12
ACUCENA;MG;202403;1000;9270;2;29;2;0;0;624;91;Centro Local;12
AGUA BOA;MG;202402;1000;13319;2;56;1;0;0;962;243;Centro Local;7
AGUA BOA;MG;202403;1000;13319;2;26;2;0;1;962;142;Centro Local;7
AGUAS FORMOSAS;MG;202401;1000;19285;4;98;3;1;2;254;19;Centro de Zona;37
AGUAS FORMOSAS;MG;202402;1000;19285;5;49;3;1;0;254;61;Centro de Zona;37
AGUAS FORMOSAS;MG;202403;1000;19285;7;75;5;2;2;254;71;Centro de Zona;37
AIMORES;MG;202401;1000;25116;1;6;1;0;0;1428;157;Centro Local;67
AIMORES;MG;202402;1000;25116;4;95;3;1;0;1428;154;Centro Local;67
AIMORES;MG;202403;1000;25116;8;162;5;1;0;1428;285;Centro Local;67
AIURUOCA;MG;202401;1000;5949;1;0;0;0;0;291;0;Centro de Zona;35
AIURUOCA;MG;202402;1000;5949;2;42;1;0;1;291;59;Centro de Zona;35
AIURUOCA;MG;202403;1000;5949;3;37;2;0;0;291;72;Centro de Zona;35
ALAGOA;MG;202402;1000;2657;1;1;1;0;0;83;8;Centro Local;4
ALAGOA;MG;202403;1000;2657;2;20;1;1;0;83;4;Centro Local;4
ALBERTINA;MG;202401;2000;3015;1;0;0;0;0;161;0;Centro Local;11
ALBERTINA;MG;202402;2000;3015;1;0;0;0;0;161;0;Centro Local;11
ALBERTINA;MG;202403;2000;3015;1;12;1;0;1;161;46;Centro Local;11
ALEM PARAIBA;MG;202401;1000;35438;7;65;4;2;1;1540;350;Centro Sub-Regional;102
ALEM PARAIBA;MG;202402;1000;35438;9;170;6;1;3;1540;456;Centro Sub-Regional;102
ALEM PARAIBA;MG;202403;1000;35438;15;262;10;1;3;1540;337;Centro Sub-Regional;102
ALFENAS;MG;202401;2000;80973;18;204;12;2;5;3812;30;Centro Sub-Regional;189
ALFENAS;MG;202402;2000;80973;26;396;16;4;4;3812;958;Centro Sub-Regional;189
ALFENAS;MG;202403;2000;80973;31;450;22;2;7;3812;811;Centro Sub-Regional;189
ALMENARA;MG;202401;1000;42380;3;69;3;0;0;2312;393;Centro Sub-Regional;85
ALMENARA;MG;202402;1000;42380;5;72;4;1;0;2312;321;Centro Sub-Regional;85
ALMENARA;MG;202403;1000;42380;11;100;5;3;1;2312;648;Centro Sub-Regional;85
ALPERCATA;MG;202401;1000;7448;2;35;2;0;1;296;6;Centro Local;14
ALPERCATA;MG;202402;1000;7448;3;41;2;0;0;296;28;Centro Local;14
ALPERCATA;MG;202403;1000;7448;4;50;3;1;1;296;59;Centro Local;14
ALPINOPOLIS;MG;202401;1000;20059;5;61;3;0;0;456;42;Centro Local;49
ALPINOPOLIS;MG;202402;1000;20059;6;136;5;0;1;456;105;Centro Local;49
ALPINOPOLIS;MG;202403;1000;20059;8;145;5;2;1;456;2;Centro Local;49
ALTEROSA;MG;202401;1000;14566;1;0;0;1;0;1396;0;Centro Local;17
ALTEROSA;MG;202402;1000;14566;1;22;1;0;1;1396;250;Centro Local;17
ALTEROSA;MG;202403;1000;14566;1;8;1;0;0;1396;198;Centro Local;17
ALTO CAPARAO;MG;202401;1000;5938;2;94;2;0;1;266;2;Centro Local;18
ALTO CAPARAO;MG;202402;1000;5938;2;31;2;0;0;266;13;Centro Local;18
ALTO CAPARAO;MG;202403;1000;5938;3;64;2;1;0;266;17;Centro Local;18
ALTO RIO DOCE;MG;202401;1000;10723;1;20;1;0;0;870;217;Centro Local;13
ALTO RIO DOCE;MG;202402;1000;10723;1;13;1;0;0;870;58;Centro Local;13
ALTO RIO DOCE;MG;202403;1000;10723;1;0;0;1;0;870;0;Centro Local;13
ALVARENGA;MG;202402;1000;3783;1;9;1;0;0;314;72;Centro Local;10
ALVARENGA;MG;202403;1000;3783;2;61;2;0;0;314;29;Centro Local;10
ALVINOPOLIS;MG;202401;1000;15135;1;14;1;0;1;909;58;Centro Local;36
ALVINOPOLIS;MG;202402;1000;15135;2;0;0;1;0;909;0;Centro Local;36
ALVINOPOLIS;MG;202403;1000;15135;3;21;2;0;2;909;19;Centro Local;36
ALVORADA DE MINAS;MG;202402;1000;3605;1;0;0;0;0;214;0;Centro Local;7
ALVORADA DE MINAS;MG;202403;1000;3605;1;34;1;0;1;214;7;Centro Local;7
ANDRADAS;MG;202401;1000;41704;13;101;7;3;1;1110;29;Centro de Zona;99
ANDRADAS;MG;202402;1000;41704;16;163;8;5;4;1110;78;Centro de Zona;99
ANDRADAS;MG;202403;1000;41704;18;304;12;2;5;1110;259;Centro de Zona;99
ANDRELANDIA;MG;202401;1000;12189;2;56;2;0;0;986;44;Centro Local;37
ANDRELANDIA;MG;202402;1000;12189;4;50;1;1;0;986;286;Centro Local;37
ANDRELANDIA;MG;202403;1000;12189;4;49;3;0;2;986;204;Centro Local;37
ANGELANDIA;MG;202402;1000;8594;1;0;0;0;0;817;0;Centro Local;5
ANGELANDIA;MG;202403;1000;8594;1;0;0;0;0;817;0;Centro Local;5
ANTONIO CARLOS;MG;202401;1000;11471;2;12;1;1;1;684;138;Centro Sub-Regional;25
ANTONIO CARLOS;MG;202402;1000;11471;4;62;2;1;1;684;20;Centro Sub-Regional;25
ANTONIO CARLOS;MG;202403;1000;11471;4;34;3;0;1;684;67;Centro Sub-Regional;25
ANTONIO DIAS;MG;202402;4000;9233;1;10;1;0;0;850;241;Centro Local;13
ANTONIO DIAS;MG;202403;4000;9233;1;20;1;0;0;850;114;Centro Local;13
ARACUAI;MG;202401;1000;36715;4;104;3;0;1;3025;316;Centro Sub-Regional;54
ARACUAI;MG;202402;1000;36715;9;128;7;1;1;3025;401;Centro Sub-Regional;54
ARACUAI;MG;202403;1000;36715;12;160;10;2;2;3025;153;Centro Sub-Regional;54
ARAGUARI;MG;202401;2000;118361;19;340;13;1;2;3733;733;Centro Sub-Regional;236
ARAGUARI;MG;202402;2000;118361;25;348;16;6;5;3733;443;Centro Sub-Regional;236
ARAGUARI;MG;202403;2000;118361;40;318;17;9;5;3733;113;Centro Sub-Regional;236
ARANTINA;MG;202401;1000;2779;1;8;1;0;0;208;28;Centro Local;5
ARANTINA;MG;202402;1000;2779;1;14;1;0;0;208;53;Centro Local;5
ARANTINA;MG;202403;1000;2779;1;0;0;1;0;208;0;Centro Local;5
ARAPONGA;MG;202402;1000;8467;1;0;0;0;0;819;0;Centro Local;10
ARAPONGA;MG;202403;1000;8467;1;0;0;0;0;819;0;Centro Local;10
ARAPORA;MG;202401;9000;6992;1;0;0;0;0;532;0;Centro Sub-Regional;16
ARAPORA;MG;202402;9000;6992;3;74;2;0;1;532;109;Centro Sub-Regional;16
ARAPORA;MG;202403;9000;6992;3;49;2;1;1;532;15;Centro Sub-Regional;16
ARAPUA;MG;202401;3000;2836;1;0;0;0;0;280;0;Centro Local;4
ARAPUA;MG;202402;3000;2836;1;0;0;0;0;280;0;Centro Local;4
ARAPUA;MG;202403;3000;2836;1;0;0;0;0;280;0;Centro Local;4
ARAUJOS;MG;202401;2000;9523;3;16;1;0;0;112;16;Centro Local;25
ARAUJOS;MG;202402;2000;9523;3;54;2;1;2;112;1;Centro Local;25
ARAUJOS;MG;202403;2000;9523;4;48;3;1;1;112;25;Centro Local;25
ARAXA;MG;202401;4000;108403;24;183;10;6;2;7130;2124;Centro Sub-Regional;259
ARAXA;MG;202402;4000;108403;34;469;20;6;8;7130;2082;Centro Sub-Regional;259
ARAXA;MG;202403;4000;108403;50;959;35;4;11;7130;1909;Centro Sub-Regional;259
ARCEBURGO;MG;202401;1000;10990;1;17;1;0;0;103;26;Centro Local;14
ARCEBURGO;MG;202402;1000;10990;2;2;1;1;0;103;4;Centro Local;14
ARCEBURGO;MG;202403;1000;10990;3;12;2;0;0;103;29;Centro Local;14
ARCOS;MG;202401;2000;40658;10;120;9;1;1;1538;1;Centro de Zona;100
ARCOS;MG;202402;2000;40658;19;417;16;0;1;1538;244;Centro de Zona;100
ARCOS;MG;202403;2000;40658;26;546;21;2;3;1538;11;Centro de Zona;100
AREADO;MG;202401;1000;15288;3;101;3;0;0;516;74;Centro Local;42
AREADO;MG;202402;1000;15288;6;123;3;1;0;516;22;Centro Local;42
AREADO;MG;202403;1000;15288;7;116;5;1;3;516;79;Centro Local;42
ARINOS;MG;202401;1000;17850;1;0;0;0;0;806;0;Centro Local;24
ARINOS;MG;202402;1000;17850;1;0;0;0;0;806;0;Centro Local;24
ARINOS;MG;202403;1000;17850;2;47;2;0;1;806;100;Centro Local;24
ASTOLFO DUTRA;MG;202401;1000;14358;1;0;0;1;0;5;0;Centro Local;36
ASTOLFO DUTRA;MG;202402;1000;14358;1;0;0;0;0;5;0;Centro Local;36
ASTOLFO DUTRA;MG;202403;1000;14358;4;66;2;0;1;5;0;Centro Local;36
BAEPENDI;MG;202401;1000;19249;3;54;2;0;1;576;160;Centro Sub-Regional;32
BAEPENDI;MG;202402;1000;19249;4;27;2;1;0;576;44;Centro Sub-Regional;32
BAEPENDI;MG;202403;1000;19249;6;108;3;0;1;576;14;Centro Sub-Regional;32
BALDIM;MG;202402;1000;7780;1;0;0;0;0;306;0;Centro Local;24
BALDIM;MG;202403;1000;7780;1;0;0;0;0;306;0;Centro Local;24
BAMBUI;MG;202401;1000;23964;6;94;3;0;0;725;44;Centro de Zona;48
BAMBUI;MG;202402;1000;23964;8;129;6;2;3;725;16;Centro de Zona;48
BAMBUI;MG;202403;1000;23964;9;251;8;1;2;725;86;Centro de Zona;48
BANDEIRA DO SUL;MG;202401;1000;5808;1;30;1;0;0;492;41;Centro Local;20
BANDEIRA DO SUL;MG;202402;1000;5808;1;0;0;1;0;492;0;Centro Local;20
BANDEIRA DO SUL;MG;202403;1000;5808;1;0;0;0;0;492;0;Centro Local;20
BARAO DE COCAIS;MG;202401;3000;33232;6;60;2;2;0;532;129;Centro Local;87
BARAO DE COCAIS;MG;202402;3000;33232;9;195;7;1;4;532;63;Centro Local;87
BARAO DE COCAIS;MG;202403;3000;33232;10;63;4;4;0;532;104;Centro Local;87
BARBACENA;MG;202401;1000;139061;26;411;19;3;6;3300;340;Centro Sub-Regional;288
BARBACENA;MG;202402;1000;139061;36;467;21;8;4;3300;699;Centro Sub-Regional;288
BARBACENA;MG;202403;1000;139061;47;635;30;7;9;3300;204;Centro Sub-Regional;288
BARRA LONGA;MG;202401;1000;4905;1;0;0;1;0;152;0;Centro Local;13
BARRA LONGA;MG;202402;1000;4905;1;42;1;0;1;152;2;Centro Local;13
BARRA LONGA;MG;202403;1000;4905;1;9;1;0;0;152;0;Centro Local;13
BARROSO;MG;202401;1000;20981;2;56;2;0;1;710;205;Centro Local;33
BARROSO;MG;202402;1000;20981;4;64;2;0;0;710;131;Centro Local;33
BARROSO;MG;202403;1000;20981;6;70;4;1;2;710;48;Centro Local;33
BELA VISTA DE MINAS;MG;202402;2000;10269;1;42;1;0;0;971;286;Centro Sub-Regional;28
BELA VISTA DE MINAS;MG;202403;2000;10269;3;110;3;0;0;971;230;Centro Sub-Regional;28
BELO HORIZONTE;MG;202401;2000;2530701;792;12126;508;90;86;225700;46492;Metrópole;7375
BELO HORIZONTE;MG;202402;2000;2530701;1183;16621;738;194;175;225700;66284;Metrópole;7375
BELO HORIZONTE;MG;202403;2000;2530701;1589;23601;1038;262;296;225700;31614;Metrópole;7375
BELO ORIENTE;MG;202401;3000;27277;2;20;2;0;1;644;182;Capital Regional;38
BELO ORIENTE;MG;202402;3000;27277;2;53;2;0;0;644;153;Capital Regional;38
BELO ORIENTE;MG;202403;3000;27277;4;110;4;0;0;644;105;Capital Regional;38
BELO VALE;MG;202401;1000;7723;3;36;3;0;0;405;11;Centro Local;13
BELO VALE;MG;202402;1000;7723;3;71;3;0;0;405;68;Centro Local;13
BELO VALE;MG;202403;1000;7723;3;2;1;2;0;405;83;Centro Local;13
BERILO;MG;202401;1000;11813;1;46;1;0;0;903;207;Centro Local;9
BERILO;MG;202402;1000;11813;3;86;2;1;0;903;262;Centro Local;9
BERILO;MG;202403;1000;11813;3;0;0;2;0;903;0;Centro Local;9
BERIZAL;MG;202401;1000;4792;1;0;0;0;0;0;0;Centro Local;6
BERIZAL;MG;202402;1000;4792;1;10;1;0;1;0;0;Centro Local;6
BERIZAL;MG;202403;1000;4792;1;14;1;0;0;0;0;Centro Local;6
BETIM;MG;202401;3000;450024;79;1000;45;12;9;24180;3353;Metrópole;1058
BETIM;MG;202402;3000;450024;123;1961;90;8;25;24180;6961;Metrópole;1058
BETIM;MG;202403;3000;450024;172;2626;115;43;26;24180;3351;Metrópole;1058
BIAS FORTES;MG;202402;1000;3282;1;2;1;0;0;275;50;Centro Local;7
BIAS FORTES;MG;202403;1000;3282;1;28;1;0;0;275;21;Centro Local;7
BICAS;MG;202401;1000;14612;2;14;1;1;0;1088;49;Centro Local;45
BICAS;MG;202402;1000;14612;6;69;4;1;1;1088;247;Centro Local;45
BICAS;MG;202403;1000;14612;7;140;6;1;2;1088;286;Centro Local;45
BOA ESPERANCA;MG;202401;1000;40308;4;59;3;1;0;3250;562;Centro de Zona;88
BOA ESPERANCA;MG;202402;1000;40308;7;71;5;1;1;3250;828;Centro de Zona;88
BOA ESPERANCA;MG;202403;1000;40308;10;108;4;4;2;3250;952;Centro de Zona;88
BOCAINA DE MINAS;MG;202401;1000;5088;3;63;3;0;1;435;103;Centro Local;25
BOCAINA DE MINAS;MG;202402;1000;5088;4;58;1;3;0;435;75;Centro Local;25
BOCAINA DE MINAS;MG;202403;1000;5088;5;80;4;0;2;435;71;Centro Local;25
BOCAIUVA;MG;202401;1000;50521;9;114;7;1;1;2599;628;Centro de Zona;70
BOCAIUVA;MG;202402;1000;50521;10;93;6;3;1;2599;73;Centro de Zona;70
BOCAIUVA;MG;202403;1000;50521;12;276;9;3;4;2599;221;Centro de Zona;70
BOM DESPACHO;MG;202401;1000;51436;12;131;7;2;3;1183;5;Centro Sub-Regional;121
BOM DESPACHO;MG;202402;1000;51436;22;314;13;2;3;1183;223;Centro Sub-Regional;121
BOM DESPACHO;MG;202403;1000;51436;27;420;19;4;5;1183;319;Centro Sub-Regional;121
BOM JARDIM DE MINAS;MG;202401;1000;6444;2;15;1;0;0;271;54;Centro Local;28
BOM JARDIM DE MINAS;MG;202402;1000;6444;5;147;4;0;1;271;24;Centro Local;28
BOM JARDIM DE MINAS;MG;202403;1000;6444;5;50;4;1;1;271;58;Centro Local;28
BOM JESUS DO AMPARO;MG;202402;1000;6182;1;19;1;0;0;140;9;Centro Local;21
BOM JESUS DO AMPARO;MG;202403;1000;6182;1;0;0;1;0;140;0;Centro Local;21
BOM JESUS DO GALHO;MG;202401;1000;14792;2;54;1;1;1;239;14;Centro Local;14
BOM JESUS DO GALHO;MG;202402;1000;14792;2;50;1;1;1;239;49;Centro Local;14
BOM JESUS DO GALHO;MG;202403;1000;14792;2;36;1;0;0;239;38;Centro Local;14
BOM REPOUSO;MG;202401;1000;10527;3;11;1;1;0;33;2;Centro Local;29
BOM REPOUSO;MG;202402;1000;10527;3;21;2;0;1;33;9;Centro Local;29
BOM REPOUSO;MG;202403;1000;10527;3;108;3;0;1;33;0;Centro Local;29
BOM SUCESSO;MG;202401;1000;17612;7;116;3;1;0;1341;325;Centro de Zona;26
BOM SUCESSO;MG;202402;1000;17612;10;145;5;1;2;1341;74;Centro de Zona;26
BOM SUCESSO;MG;202403;1000;17612;12;168;8;2;3;1341;282;Centro de Zona;26
BONFIM;MG;202401;1000;6852;1;0;0;0;0;133;0;Centro Local;13
BONFIM;MG;202402;1000;6852;1;0;0;0;0;133;0;Centro Local;13
BONFIM;MG;202403;1000;6852;2;25;1;0;1;133;27;Centro Local;13
BONFINOPOLIS DE MINAS;MG;202401;4000;5397;2;0;0;0;0;502;0;Centro Local;8
BONFINOPOLIS DE MINAS;MG;202402;4000;5397;2;0;0;0;0;502;0;Centro Local;8
BONFINOPOLIS DE MINAS;MG;202403;4000;5397;3;40;2;0;1;502;146;Centro Local;8
BONITO DE MINAS;MG;202401;1000;11502;1;20;1;0;0;482;58;Centro Local;5
BONITO DE MINAS;MG;202402;1000;11502;2;41;2;0;0;482;113;Centro Local;5
BONITO DE MINAS;MG;202403;1000;11502;2;36;1;1;0;482;55;Centro Local;5
BORDA DA MATA;MG;202401;1000;19809;3;12;2;1;0;1711;331;Centro de Zona;44
BORDA DA MATA;MG;202402;1000;19809;4;104;4;0;1;1711;81;Centro de Zona;44
BORDA DA MATA;MG;202403;1000;19809;8;135;5;1;0;1711;149;Centro de Zona;44
BOTELHOS;MG;202401;1000;14927;6;25;2;0;1;635;96;Centro Local;32
BOTELHOS;MG;202402;1000;14927;7;175;5;0;2;635;133;Centro Local;32
BOTELHOS;MG;202403;1000;14927;9;107;6;2;2;635;112;Centro Local;32
BRAS PIRES;MG;202403;1000;4255;2;29;1;0;0;15;3;Centro Local;4
BRASILANDIA DE MINAS;MG;202401;1000;16950;2;10;1;0;1;142;38;Centro Local;14
BRASILANDIA DE MINAS;MG;202402;1000;16950;3;48;1;1;1;142;15;Centro Local;14
BRASILANDIA DE MINAS;MG;202403;1000;16950;5;86;5;0;2;142;38;Centro Local;14
BRASILIA DE MINAS;MG;202401;1000;32460;7;31;3;1;1;86;25;Centro de Zona;34
BRASILIA DE MINAS;MG;202402;1000;32460;11;89;7;0;3;86;16;Centro de Zona;34
BRASILIA DE MINAS;MG;202403;1000;32460;13;153;7;3;2;86;5;Centro de Zona;34
BRAUNAS;MG;202402;2000;4737;1;0;0;0;0;8;0;Centro Local;3
BRAUNAS;MG;202403;2000;4737;1;0;0;0;0;8;0;Centro Local;3
BRUMADINHO;MG;202401;5000;41208;10;205;8;1;1;3783;338;Metrópole;130
BRUMADINHO;MG;202402;5000;41208;13;205;7;3;1;3783;339;Metrópole;130
BRUMADINHO;MG;202403;5000;41208;16;185;9;4;4;3783;142;Metrópole;130
BUENO BRANDAO;MG;202401;1000;10982;3;82;2;0;0;826;54;Centro Local;30
BUENO BRANDAO;MG;202402;1000;10982;3;44;1;1;0;826;31;Centro Local;30
BUENO BRANDAO;MG;202403;1000;10982;4;20;2;1;2;826;118;Centro Local;30
BUENOPOLIS;MG;202401;1000;10342;1;58;1;0;0;478;106;Centro Local;14
BUENOPOLIS;MG;202402;1000;10342;1;15;1;0;0;478;129;Centro Local;14
BUENOPOLIS;MG;202403;1000;10342;2;1;1;0;0;478;58;Centro Local;14
BUGRE;MG;202401;1000;3984;1;0;0;1;0;158;0;Capital Regional;3
BUGRE;MG;202402;1000;3984;1;0;0;0;0;158;0;Capital Regional;3
BUGRE;MG;202403;1000;3984;1;28;1;0;1;158;18;Capital Regional;3
BURITIS;MG;202401;2000;25179;4;40;2;0;0;470;23;Centro Local;33
BURITIS;MG;202402;2000;25179;8;159;6;1;2;470;130;Centro Local;33
BURITIS;MG;202403;2000;25179;9;184;8;0;1;470;136;Centro Local;33
BURITIZEIRO;MG;202401;1000;28184;4;65;3;1;0;809;160;Centro Sub-Regional;37
BURITIZEIRO;MG;202402;1000;28184;5;98;3;2;1;809;158;Centro Sub-Regional;37
BURITIZEIRO;MG;202403;1000;28184;6;50;3;2;2;809;156;Centro Sub-Regional;37
CABO VERDE;MG;202401;1000;14074;5;76;3;1;0;1252;103;Centro Local;23
CABO VERDE;MG;202402;1000;14074;5;107;4;1;2;1252;159;Centro Local;23
CABO VERDE;MG;202403;1000;14074;6;132;6;0;1;1252;88;Centro Local;23
CACHOEIRA DA PRATA;MG;202402;1000;3580;1;0;0;0;0;180;0;Centro Local;9
CACHOEIRA DA PRATA;MG;202403;1000;3580;1;40;1;0;1;180;8;Centro Local;9
CACHOEIRA DE MINAS;MG;202401;2000;11609;3;32;1;1;0;317;39;Centro Local;25
CACHOEIRA DE MINAS;MG;202402;2000;11609;5;97;5;0;2;317;0;Centro Local;25
CACHOEIRA DE MINAS;MG;202403;2000;11609;7;48;3;3;0;317;35;Centro Local;25
CACHOEIRA DE PAJEU;MG;202401;1000;9470;2;34;2;0;0;534;7;Centro Local;10
CACHOEIRA DE PAJEU;MG;202402;1000;9470;2;94;2;0;0;534;102;Centro Local;10
CACHOEIRA DE PAJEU;MG;202403;1000;9470;2;54;2;0;0;534;90;Centro Local;10
CAETANOPOLIS;MG;202401;1000;11869;2;24;1;1;0;899;65;Centro Local;25
CAETANOPOLIS;MG;202402;1000;11869;3;25;2;0;0;899;97;Centro Local;25
CAETANOPOLIS;MG;202403;1000;11869;3;38;2;1;1;899;154;Centro Local;25
CAETE;MG;202401;1000;45364;10;249;8;0;1;3201;193;Metrópole;96
CAETE;MG;202402;1000;45364;18;213;10;2;0;3201;115;Metrópole;96
CAETE;MG;202403;1000;45364;23;376;13;5;3;3201;647;Metrópole;96
CAIANA;MG;202402;1000;5584;1;2;1;0;0;231;16;Centro Local;7
CAIANA;MG;202403;1000;5584;1;28;1;0;0;231;1;Centro Local;7
CAJURI;MG;202401;1000;3961;1;0;0;0;0;310;0;Centro Sub-Regional;6
CAJURI;MG;202402;1000;3961;1;58;1;0;1;310;88;Centro Sub-Regional;6
CAJURI;MG;202403;1000;3961;2;15;1;0;0;310;52;Centro Sub-Regional;6
CALDAS;MG;202401;1000;14600;1;14;1;0;0;575;83;Centro Local;29
CALDAS;MG;202402;1000;14600;2;18;1;1;0;575;40;Centro Local;29
CALDAS;MG;202403;1000;14600;2;29;2;0;1;575;146;Centro Local;29
CAMACHO;MG;202402;1000;2839;1;19;1;0;0;43;3;Centro Local;5
CAMACHO;MG;202403;1000;2839;2;1;1;0;0;43;7;Centro Local;5
CAMANDUCAIA;MG;202401;2000;21831;10;59;5;2;0;562;101;Centro Local;99
CAMANDUCAIA;MG;202402;2000;21831;11;121;7;2;3;562;59;Centro Local;99
CAMANDUCAIA;MG;202403;2000;21831;12;244;7;3;2;562;35;Centro Local;99
CAMBUI;MG;202401;3000;30068;7;113;5;1;1;1844;388;Centro de Zona;93
CAMBUI;MG;202402;3000;30068;8;95;4;3;1;1844;16;Centro de Zona;93
CAMBUI;MG;202403;3000;30068;12;145;8;0;3;1844;386;Centro de Zona;93
CAMBUQUIRA;MG;202401;1000;12810;7;51;5;0;0;1055;264;Centro Local;38
CAMBUQUIRA;MG;202402;1000;12810;8;140;7;0;2;1055;174;Centro Local;38
CAMBUQUIRA;MG;202403;1000;12810;9;137;7;1;1;1055;239;Centro Local;38
CAMPANARIO;MG;202401;1000;3739;1;46;1;0;0;277;26;Centro Local;5
CAMPANARIO;MG;202402;1000;3739;1;5;1;0;0;277;59;Centro Local;5
CAMPANARIO;MG;202403;1000;3739;2;78;2;0;0;277;26;Centro Local;5
CAMPANHA;MG;202401;1000;16855;4;119;4;0;1;630;82;Centro Local;32
CAMPANHA;MG;202402;1000;16855;4;3;1;3;0;630;41;Centro Local;32
CAMPANHA;MG;202403;1000;16855;5;43;3;0;2;630;58;Centro Local;32
CAMPESTRE;MG;202401;1000;21052;4;44;1;1;0;469;102;Centro Local;41
CAMPESTRE;MG;202402;1000;21052;6;22;3;0;2;469;118;Centro Local;41
CAMPESTRE;MG;202403;1000;21052;10;98;4;1;2;469;105;Centro Local;41
CAMPINA VERDE;MG;202401;1000;19759;5;76;2;1;0;385;83;Centro Local;40
CAMPINA VERDE;MG;202402;1000;19759;6;49;3;2;2;385;5;Centro Local;40
CAMPINA VERDE;MG;202403;1000;19759;6;133;5;1;3;385;99;Centro Local;40
CAMPO BELO;MG;202401;1000;54338;10;277;8;0;1;1474;408;Centro Sub-Regional;86
CAMPO BELO;MG;202402;1000;54338;19;277;10;3;2;1474;395;Centro Sub-Regional;86
CAMPO BELO;MG;202403;1000;54338;20;229;13;3;6;1474;4;Centro Sub-Regional;86
CAMPO DO MEIO;MG;202402;1000;11648;1;0;0;0;0;285;0;Centro Local;17
CAMPO DO MEIO;MG;202403;1000;11648;2;46;1;0;0;285;12;Centro Local;17
CAMPO FLORIDO;MG;202402;4000;8383;1;22;1;0;0;254;31;Centro Local;24
CAMPO FLORIDO;MG;202403;4000;8383;3;60;2;1;0;254;13;Centro Local;24
CAMPOS ALTOS;MG;202402;1000;15661;1;6;1;0;0;499;99;Centro Local;24
CAMPOS ALTOS;MG;202403;1000;15661;1;0;0;1;0;499;0;Centro Local;24
CAMPOS GERAIS;MG;202401;1000;28908;4;53;3;0;0;2670;472;Centro Local;47
CAMPOS GERAIS;MG;202402;1000;28908;6;73;4;0;0;2670;449;Centro Local;47
CAMPOS GERAIS;MG;202403;1000;28908;11;204;7;1;1;2670;681;Centro Local;47
CANA VERDE;MG;202401;1000;5585;1;26;1;0;1;273;50;Centro Local;11
CANA VERDE;MG;202402;1000;5585;1;13;1;0;0;273;6;Centro Local;11
CANA VERDE;MG;202403;1000;5585;2;25;1;1;0;273;42;Centro Local;11
CANAPOLIS;MG;202402;2000;12251;1;24;1;0;0;243;68;Centro Local;27
CANAPOLIS;MG;202403;2000;12251;2;62;2;0;0;243;62;Centro Local;27
CANDEIAS;MG;202401;1000;14890;3;96;2;0;1;414;53;Centro Local;23
CANDEIAS;MG;202402;1000;14890;4;32;3;0;1;414;30;Centro Local;23
CANDEIAS;MG;202403;1000;14890;4;67;2;2;1;414;29;Centro Local;23
CANTAGALO;MG;202402;1000;4575;1;44;1;0;0;358;38;Centro Local;5
CANTAGALO;MG;202403;1000;4575;1;22;1;0;0;358;97;Centro Local;5
CAPELA NOVA;MG;202401;1000;4616;3;52;3;0;1;366;29;Centro Local;12
CAPELA NOVA;MG;202402;1000;4616;3;67;2;1;0;366;79;Centro Local;12
CAPELA NOVA;MG;202403;1000;4616;5;67;3;0;0;366;102;Centro Local;12
CAPELINHA;MG;202401;1000;38321;8;40;3;2;0;2720;190;Centro de Zona;77
CAPELINHA;MG;202402;1000;38321;14;222;8;1;2;2720;101;Centro de Zona;77
CAPELINHA;MG;202403;1000;38321;14;229;10;2;4;2720;140;Centro de Zona;77
CAPETINGA;MG;202403;1000;6860;1;6;1;0;0;283;8;Centro Local;7
CAPIM BRANCO;MG;202403;1000;9896;1;0;0;0;0;426;0;Centro Local;13
CAPINOPOLIS;MG;202401;2000;16294;3;91;3;0;0;1260;168;Centro de Zona;25
CAPINOPOLIS;MG;202402;2000;16294;3;57;3;0;0;1260;310;Centro de Zona;25
CAPINOPOLIS;MG;202403;2000;16294;3;21;2;1;0;1260;312;Centro de Zona;25
CAPITAO ANDRADE;MG;202403;1000;5559;2;44;2;0;0;63;17;Centro Local;9
CAPITAO ENEAS;MG;202401;1000;15388;2;0;0;0;0;924;0;Centro Local;18
CAPITAO ENEAS;MG;202402;1000;15388;3;14;1;0;0;924;109;Centro Local;18
CAPITAO ENEAS;MG;202403;1000;15388;4;30;2;1;2;924;253;Centro Local;18
